ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
AVC   ,EQY,AUCTUS INVESTMENT GROUP LIMITED                             ,ORDINARY            ,0.885,20230616
AVD   ,EQY,AVADA GROUP LIMITED                                         ,ORDINARY            ,0.74,20230630
AVE   ,EQY,AVECHO BIOTECHNOLOGY LIMITED                                ,ORDINARY            ,0.005,20230630
AVG   ,EQY,AUSTRALIAN VINTAGE LTD                                      ,ORDINARY            ,0.4,20230630
AVH   ,EQY,AVITA MEDICAL INC.                                          ,CDI 5:1             ,5.19,20230630
AVJ   ,EQY,AVJENNINGS LIMITED                                          ,ORDINARY            ,0.4,20230630
AVL   ,EQY,AUSTRALIAN VANADIUM LIMITED                                 ,ORDINARY            ,0.033,20230630
AVM   ,EQY,ADVANCE METALS LIMITED                                      ,ORDINARY            ,0.007,20230627
AVR   ,EQY,ANTERIS TECHNOLOGIES LTD                                    ,ORDINARY            ,21.37,20230630
AVW   ,EQY,AVIRA RESOURCES LTD                                         ,ORDINARY            ,0.002,20230630
AVZ   ,EQY,AVZ MINERALS LIMITED                                        ,ORDINARY            ,0.78,20220506
AW1   ,EQY,AMERICAN WEST METALS LIMITED                                ,ORDINARY            ,0.16,20230630
AWC   ,EQY,ALUMINA LIMITED                                             ,ORDINARY            ,1.385,20230630
AWJ   ,EQY,AURIC MINING LIMITED                                        ,ORDINARY            ,0.04,20230630
AX1   ,EQY,ACCENT GROUP LIMITED                                        ,ORDINARY            ,1.675,20230630
AX8   ,EQY,ACCELERATE RESOURCES LIMITED                                ,ORDINARY            ,0.02,20230630
AXE   ,EQY,ARCHER MATERIALS LIMITED                                    ,ORDINARY            ,0.595,20230630
AXI   ,EQY,AXIOM PROPERTIES LIMITED                                    ,ORDINARY            ,0.044,20230630
AXN   ,EQY,ALLIANCE NICKEL LIMITED                                     ,ORDINARY            ,0.094,20230630
AXP   ,EQY,AXP ENERGY LIMITED                                          ,ORDINARY            ,0.0015,20230630
AYA   ,EQY,ARTRYA LIMITED                                              ,ORDINARY            ,0.22,20230629
AYI   ,EQY,A1 INVESTMENTS & RESOURCES LTD                              ,ORDINARY            ,0.001,20230630
AYM   ,EQY,AUSTRALIA UNITED MINING LIMITED                             ,ORDINARY            ,0.003,20230628
AYT   ,EQY,AUSTIN METALS LIMITED                                       ,ORDINARY            ,0.004,20230630
AZI   ,EQY,ALTAMIN LIMITED                                             ,ORDINARY            ,0.078,20230630
AZJ   ,EQY,AURIZON HOLDINGS LIMITED                                    ,ORDINARY            ,3.92,20230630
AZL   ,EQY,ARIZONA LITHIUM LIMITED                                     ,ORDINARY            ,0.032,20230630
AZS   ,EQY,AZURE MINERALS LIMITED                                      ,ORDINARY            ,1.505,20230630
AZY   ,EQY,ANTIPA MINERALS LIMITED                                     ,ORDINARY            ,0.013,20230630
B4P   ,EQY,BEFOREPAY GROUP LIMITED                                     ,ORDINARY            ,0.47,20230630
BAP   ,EQY,BAPCOR LIMITED                                              ,ORDINARY            ,5.94,20230630
BAS   ,EQY,BASS OIL LIMITED                                            ,ORDINARY            ,0.099,20230630
BAT   ,EQY,BATTERY MINERALS LIMITED                                    ,ORDINARY            ,0.115,20230630
BBC   ,EQY,BNK BANKING CORPORATION LIMITED                             ,ORDINARY            ,0.485,20230630
BBL   ,EQY,BRISBANE BRONCOS LIMITED                                    ,ORDINARY            ,0.91,20230628
BBN   ,EQY,BABY BUNTING GROUP LIMITED                                  ,ORDINARY            ,1.375,20230630
BBT   ,EQY,BLUEBET HOLDINGS LTD                                        ,ORDINARY            ,0.18,20230630
BBX   ,EQY,BBX MINERALS LIMITED                                        ,ORDINARY            ,0.046,20230630
BC8   ,EQY,BLACK CAT SYNDICATE LIMITED                                 ,ORDINARY            ,0.375,20230630
BCA   ,EQY,BLACK CANYON LIMITED                                        ,ORDINARY            ,0.17,20230630
BCB   ,EQY,BOWEN COKING COAL LIMITED                                   ,ORDINARY            ,0.16,20230630
BCC   ,EQY,BEAM COMMUNICATIONS HOLDINGS LIMITED                        ,ORDINARY            ,0.18,20230630
BCI   ,EQY,BCI MINERALS LIMITED                                        ,ORDINARY            ,0.24,20230630
BCK   ,EQY,BROCKMAN MINING LIMITED                                     ,ORDINARY            ,0.034,20230629
BCN   ,EQY,BEACON MINERALS LIMITED                                     ,ORDINARY            ,0.029,20230630
BCT   ,EQY,BLUECHIIP LIMITED                                           ,ORDINARY            ,0.021,20230630
BDG   ,EQY,BLACK DRAGON GOLD CORP.                                     ,CDI 1:1             ,0.035,20230626
BDM   ,EQY,BURGUNDY DIAMOND MINES LIMITED                              ,ORDINARY            ,0.3,20221216
BDT   ,EQY,BIRDDOG TECHNOLOGY LIMITED                                  ,ORDINARY            ,0.14,20230630
BDX   ,EQY,BCAL DIAGNOSTICS LIMITED                                    ,ORDINARY            ,0.07,20230630
BEE   ,EQY,BROO LTD                                                    ,ORDINARY            ,0.009,20220505
BEL   ,EQY,BENTLEY CAPITAL LIMITED                                     ,ORDINARY            ,0.045,20230630
BEN   ,EQY,BENDIGO AND ADELAIDE BANK LIMITED                           ,ORDINARY            ,8.59,20230630
